Energy	All	Alpha	Beta	Gama	Other
1	0	0	0	0	0
2	0	0	0	0	0
3	0	0	0	0	0
4	0	0	0	0	0
5	64	0	0	64	0
6	283	0	0	283	0
7	188	0	0	188	0
8	268	0	0	268	0
9	210	0	0	210	0
10	112	0	0	112	0
11	321	0	0	321	0
12	219	0	0	219	0
13	261	0	0	261	0
14	267	0	0	267	0
15	370	0	0	370	0
16	315	0	1	314	0
17	309	0	2	307	0
18	319	0	2	317	0
19	291	0	4	287	0
20	240	0	2	238	0
21	211	0	5	206	0
22	164	0	8	156	0
23	126	0	6	120	0
24	99	0	5	94	0
25	75	0	3	72	0
26	69	0	11	58	0
27	27	0	5	22	0
28	42	0	3	39	0
29	22	0	3	19	0
30	18	0	0	18	0
31	14	0	5	9	0
32	8	0	2	6	0
33	4	0	1	3	0
34	1	0	1	0	0
35	3	0	1	2	0
36	4	0	2	2	0
37	3	0	1	2	0
38	1	0	1	0	0
39	6	0	4	2	0
40	3	0	2	1	0
41	3	0	2	1	0
42	4	0	2	2	0
43	8	0	6	2	0
44	3	0	2	1	0
45	7	0	3	4	0
46	3	0	2	1	0
47	4	0	1	3	0
48	3	0	2	1	0
49	6	0	4	2	0
50	11	0	4	7	0
51	10	0	3	7	0
52	10	0	6	4	0
53	13	0	7	6	0
54	7	0	6	1	0
55	13	0	1	12	0
56	7	0	3	4	0
57	26	0	5	21	0
58	16	0	3	13	0
59	34	0	6	28	0
60	21	0	8	13	0
61	36	0	9	27	0
62	32	0	8	24	0
63	27	0	10	17	0
64	21	0	5	16	0
65	23	0	4	19	0
66	9	0	6	3	0
67	10	0	2	8	0
68	4	0	1	3	0
69	4	0	1	3	0
70	3	0	1	2	0
71	2	0	2	0	0
72	0	0	0	0	0
73	1	0	1	0	0
74	2	0	1	1	0
75	1	0	0	1	0
76	1	0	1	0	0
77	2	0	2	0	0
78	0	0	0	0	0
79	0	0	0	0	0
80	2	0	2	0	0
81	2	0	2	0	0
82	2	0	2	0	0
83	1	0	1	0	0
84	2	0	2	0	0
85	0	0	0	0	0
86	1	0	1	0	0
87	0	0	0	0	0
88	0	0	0	0	0
89	2	0	2	0	0
90	0	0	0	0	0
91	0	0	0	0	0
92	1	0	1	0	0
93	1	0	1	0	0
94	2	0	2	0	0
95	0	0	0	0	0
96	0	0	0	0	0
97	0	0	0	0	0
98	0	0	0	0	0
99	0	0	0	0	0
100	1	0	1	0	0
101	1	0	1	0	0
102	0	0	0	0	0
103	3	0	3	0	0
104	0	0	0	0	0
105	0	0	0	0	0
106	0	0	0	0	0
107	1	0	1	0	0
108	0	0	0	0	0
109	0	0	0	0	0
110	1	0	1	0	0
111	2	0	2	0	0
112	0	0	0	0	0
113	3	0	3	0	0
114	3	0	2	1	0
115	0	0	0	0	0
116	0	0	0	0	0
117	1	0	1	0	0
118	0	0	0	0	0
119	0	0	0	0	0
120	1	0	1	0	0
121	1	0	1	0	0
122	0	0	0	0	0
123	1	0	1	0	0
124	1	0	1	0	0
125	1	0	1	0	0
126	0	0	0	0	0
127	1	0	1	0	0
128	3	0	3	0	0
129	0	0	0	0	0
130	1	0	1	0	0
131	2	0	2	0	0
132	0	0	0	0	0
133	2	0	2	0	0
134	1	0	1	0	0
135	0	0	0	0	0
136	2	0	2	0	0
137	0	0	0	0	0
138	1	0	1	0	0
139	1	0	1	0	0
140	0	0	0	0	0
141	0	0	0	0	0
142	2	0	2	0	0
143	0	0	0	0	0
144	0	0	0	0	0
145	1	0	1	0	0
146	1	0	1	0	0
147	0	0	0	0	0
148	0	0	0	0	0
149	3	0	3	0	0
150	1	1	0	0	0
151	0	0	0	0	0
152	0	0	0	0	0
153	0	0	0	0	0
154	1	0	1	0	0
155	0	0	0	0	0
156	1	0	1	0	0
157	0	0	0	0	0
158	0	0	0	0	0
159	2	0	2	0	0
160	0	0	0	0	0
161	0	0	0	0	0
162	0	0	0	0	0
163	0	0	0	0	0
164	1	1	0	0	0
165	0	0	0	0	0
166	0	0	0	0	0
167	0	0	0	0	0
168	1	0	1	0	0
169	0	0	0	0	0
170	1	0	1	0	0
171	0	0	0	0	0
172	0	0	0	0	0
173	1	0	1	0	0
174	1	0	1	0	0
175	1	0	1	0	0
176	0	0	0	0	0
177	2	0	2	0	0
178	0	0	0	0	0
179	0	0	0	0	0
180	1	0	1	0	0
181	2	0	2	0	0
182	3	0	3	0	0
183	0	0	0	0	0
184	0	0	0	0	0
185	0	0	0	0	0
186	0	0	0	0	0
187	0	0	0	0	0
188	3	0	3	0	0
189	1	0	1	0	0
190	1	0	1	0	0
191	0	0	0	0	0
192	0	0	0	0	0
193	1	0	1	0	0
194	0	0	0	0	0
195	2	0	2	0	0
196	1	0	1	0	0
197	0	0	0	0	0
198	0	0	0	0	0
199	0	0	0	0	0
200	0	0	0	0	0
201	2	0	2	0	0
202	2	0	2	0	0
203	2	1	1	0	0
204	0	0	0	0	0
205	0	0	0	0	0
206	1	0	1	0	0
207	0	0	0	0	0
208	3	1	2	0	0
209	0	0	0	0	0
210	0	0	0	0	0
211	1	0	1	0	0
212	1	0	1	0	0
213	1	0	1	0	0
214	0	0	0	0	0
215	3	0	3	0	0
216	1	0	1	0	0
217	1	0	1	0	0
218	0	0	0	0	0
219	0	0	0	0	0
220	1	0	1	0	0
221	0	0	0	0	0
222	0	0	0	0	0
223	0	0	0	0	0
224	1	0	1	0	0
225	0	0	0	0	0
226	0	0	0	0	0
227	0	0	0	0	0
228	1	0	1	0	0
229	0	0	0	0	0
230	0	0	0	0	0
231	4	0	4	0	0
232	0	0	0	0	0
233	0	0	0	0	0
234	0	0	0	0	0
235	0	0	0	0	0
236	0	0	0	0	0
237	1	0	1	0	0
238	0	0	0	0	0
239	2	0	2	0	0
240	0	0	0	0	0
241	0	0	0	0	0
242	2	0	2	0	0
243	1	0	1	0	0
244	1	0	1	0	0
245	1	0	1	0	0
246	0	0	0	0	0
247	0	0	0	0	0
248	0	0	0	0	0
249	0	0	0	0	0
250	0	0	0	0	0
251	1	0	1	0	0
252	0	0	0	0	0
253	0	0	0	0	0
254	1	0	1	0	0
255	0	0	0	0	0
256	0	0	0	0	0
257	0	0	0	0	0
258	1	0	1	0	0
259	1	0	1	0	0
260	1	0	1	0	0
261	0	0	0	0	0
262	0	0	0	0	0
263	1	0	1	0	0
264	1	0	1	0	0
265	0	0	0	0	0
266	0	0	0	0	0
267	0	0	0	0	0
268	0	0	0	0	0
269	0	0	0	0	0
270	0	0	0	0	0
271	0	0	0	0	0
272	0	0	0	0	0
273	0	0	0	0	0
274	0	0	0	0	0
275	0	0	0	0	0
276	0	0	0	0	0
277	0	0	0	0	0
278	1	0	1	0	0
279	3	0	3	0	0
280	0	0	0	0	0
281	0	0	0	0	0
282	2	0	2	0	0
283	2	0	2	0	0
284	1	0	1	0	0
285	1	0	1	0	0
286	1	0	1	0	0
287	0	0	0	0	0
288	2	0	2	0	0
289	1	0	1	0	0
290	0	0	0	0	0
291	2	0	2	0	0
292	0	0	0	0	0
293	1	0	1	0	0
294	0	0	0	0	0
295	0	0	0	0	0
296	0	0	0	0	0
297	0	0	0	0	0
298	2	0	2	0	0
299	1	0	1	0	0
300	1	0	1	0	0
301	1	0	1	0	0
302	0	0	0	0	0
303	1	0	1	0	0
304	0	0	0	0	0
305	0	0	0	0	0
306	1	0	1	0	0
307	0	0	0	0	0
308	0	0	0	0	0
309	0	0	0	0	0
310	0	0	0	0	0
311	0	0	0	0	0
312	0	0	0	0	0
313	1	0	1	0	0
314	0	0	0	0	0
315	0	0	0	0	0
316	0	0	0	0	0
317	1	0	1	0	0
318	1	0	1	0	0
319	0	0	0	0	0
320	0	0	0	0	0
321	0	0	0	0	0
322	0	0	0	0	0
323	0	0	0	0	0
324	0	0	0	0	0
325	0	0	0	0	0
326	0	0	0	0	0
327	0	0	0	0	0
328	1	1	0	0	0
329	1	1	0	0	0
330	0	0	0	0	0
331	0	0	0	0	0
332	0	0	0	0	0
333	1	0	1	0	0
334	0	0	0	0	0
335	2	0	2	0	0
336	1	0	1	0	0
337	0	0	0	0	0
338	1	0	1	0	0
339	0	0	0	0	0
340	0	0	0	0	0
341	0	0	0	0	0
342	0	0	0	0	0
343	0	0	0	0	0
344	1	0	1	0	0
345	0	0	0	0	0
346	0	0	0	0	0
347	1	1	0	0	0
348	0	0	0	0	0
349	0	0	0	0	0
350	0	0	0	0	0
351	0	0	0	0	0
352	2	2	0	0	0
353	1	0	1	0	0
354	0	0	0	0	0
355	0	0	0	0	0
356	0	0	0	0	0
357	0	0	0	0	0
358	0	0	0	0	0
359	1	0	1	0	0
360	0	0	0	0	0
361	1	0	1	0	0
362	1	0	1	0	0
363	0	0	0	0	0
364	1	0	1	0	0
365	1	0	1	0	0
366	0	0	0	0	0
367	0	0	0	0	0
368	0	0	0	0	0
369	0	0	0	0	0
370	0	0	0	0	0
371	1	0	1	0	0
372	0	0	0	0	0
373	2	0	2	0	0
374	1	1	0	0	0
375	0	0	0	0	0
376	2	1	1	0	0
377	0	0	0	0	0
378	1	0	1	0	0
379	1	0	1	0	0
380	0	0	0	0	0
381	0	0	0	0	0
382	0	0	0	0	0
383	0	0	0	0	0
384	0	0	0	0	0
385	0	0	0	0	0
386	1	0	1	0	0
387	1	1	0	0	0
388	0	0	0	0	0
389	0	0	0	0	0
390	0	0	0	0	0
391	1	1	0	0	0
392	0	0	0	0	0
393	1	1	0	0	0
394	0	0	0	0	0
395	2	1	1	0	0
396	1	1	0	0	0
397	0	0	0	0	0
398	1	1	0	0	0
399	0	0	0	0	0
400	2	1	1	0	0
401	0	0	0	0	0
402	0	0	0	0	0
403	1	1	0	0	0
404	2	1	1	0	0
405	1	0	1	0	0
406	0	0	0	0	0
407	1	1	0	0	0
408	0	0	0	0	0
409	0	0	0	0	0
410	0	0	0	0	0
411	1	1	0	0	0
412	1	1	0	0	0
413	0	0	0	0	0
414	1	1	0	0	0
415	2	2	0	0	0
416	0	0	0	0	0
417	2	1	1	0	0
418	1	1	0	0	0
419	1	1	0	0	0
420	0	0	0	0	0
421	0	0	0	0	0
422	2	1	1	0	0
423	0	0	0	0	0
424	0	0	0	0	0
425	0	0	0	0	0
426	0	0	0	0	0
427	0	0	0	0	0
428	0	0	0	0	0
429	0	0	0	0	0
430	1	1	0	0	0
431	1	1	0	0	0
432	0	0	0	0	0
433	0	0	0	0	0
434	0	0	0	0	0
435	0	0	0	0	0
436	0	0	0	0	0
437	0	0	0	0	0
438	2	2	0	0	0
439	0	0	0	0	0
440	1	0	1	0	0
441	1	1	0	0	0
442	2	0	2	0	0
443	0	0	0	0	0
444	0	0	0	0	0
445	0	0	0	0	0
446	1	0	1	0	0
447	0	0	0	0	0
448	0	0	0	0	0
449	0	0	0	0	0
450	1	1	0	0	0
451	0	0	0	0	0
452	2	2	0	0	0
453	1	1	0	0	0
454	0	0	0	0	0
455	1	0	1	0	0
456	0	0	0	0	0
457	0	0	0	0	0
458	1	1	0	0	0
459	0	0	0	0	0
460	0	0	0	0	0
461	0	0	0	0	0
462	0	0	0	0	0
463	0	0	0	0	0
464	0	0	0	0	0
465	0	0	0	0	0
466	0	0	0	0	0
467	0	0	0	0	0
468	1	1	0	0	0
469	0	0	0	0	0
470	0	0	0	0	0
471	0	0	0	0	0
472	1	0	1	0	0
473	0	0	0	0	0
474	0	0	0	0	0
475	0	0	0	0	0
476	0	0	0	0	0
477	0	0	0	0	0
478	0	0	0	0	0
479	0	0	0	0	0
480	1	1	0	0	0
481	1	1	0	0	0
482	0	0	0	0	0
483	0	0	0	0	0
484	1	1	0	0	0
485	1	0	1	0	0
486	0	0	0	0	0
487	0	0	0	0	0
488	0	0	0	0	0
489	0	0	0	0	0
490	0	0	0	0	0
491	0	0	0	0	0
492	1	1	0	0	0
493	1	1	0	0	0
494	0	0	0	0	0
495	0	0	0	0	0
496	0	0	0	0	0
497	0	0	0	0	0
498	0	0	0	0	0
499	1	1	0	0	0
500	0	0	0	0	0
501	0	0	0	0	0
502	0	0	0	0	0
503	0	0	0	0	0
504	0	0	0	0	0
505	1	0	1	0	0
506	1	1	0	0	0
507	2	1	1	0	0
508	1	1	0	0	0
509	0	0	0	0	0
510	0	0	0	0	0
511	1	1	0	0	0
512	0	0	0	0	0
513	1	0	1	0	0
514	1	0	1	0	0
515	0	0	0	0	0
516	0	0	0	0	0
517	0	0	0	0	0
518	1	1	0	0	0
519	0	0	0	0	0
520	1	1	0	0	0
521	0	0	0	0	0
522	1	1	0	0	0
523	0	0	0	0	0
524	1	1	0	0	0
525	0	0	0	0	0
526	2	1	1	0	0
527	0	0	0	0	0
528	0	0	0	0	0
529	1	1	0	0	0
530	1	0	1	0	0
531	0	0	0	0	0
532	1	0	1	0	0
533	0	0	0	0	0
534	0	0	0	0	0
535	1	1	0	0	0
536	0	0	0	0	0
537	0	0	0	0	0
538	2	2	0	0	0
539	0	0	0	0	0
540	0	0	0	0	0
541	0	0	0	0	0
542	0	0	0	0	0
543	0	0	0	0	0
544	2	2	0	0	0
545	1	1	0	0	0
546	0	0	0	0	0
547	0	0	0	0	0
548	1	1	0	0	0
549	0	0	0	0	0
550	0	0	0	0	0
551	3	3	0	0	0
552	1	0	1	0	0
553	1	1	0	0	0
554	0	0	0	0	0
555	0	0	0	0	0
556	0	0	0	0	0
557	1	1	0	0	0
558	1	1	0	0	0
559	0	0	0	0	0
560	1	1	0	0	0
561	1	1	0	0	0
562	0	0	0	0	0
563	0	0	0	0	0
564	1	1	0	0	0
565	0	0	0	0	0
566	0	0	0	0	0
567	1	1	0	0	0
568	0	0	0	0	0
569	0	0	0	0	0
570	0	0	0	0	0
571	0	0	0	0	0
572	1	1	0	0	0
573	1	1	0	0	0
574	0	0	0	0	0
575	1	1	0	0	0
576	1	1	0	0	0
577	0	0	0	0	0
578	1	0	1	0	0
579	0	0	0	0	0
580	1	1	0	0	0
581	1	1	0	0	0
582	0	0	0	0	0
583	1	1	0	0	0
584	0	0	0	0	0
585	1	1	0	0	0
586	1	1	0	0	0
587	0	0	0	0	0
588	0	0	0	0	0
589	2	2	0	0	0
590	0	0	0	0	0
591	0	0	0	0	0
592	1	1	0	0	0
593	1	1	0	0	0
594	1	0	1	0	0
595	0	0	0	0	0
596	0	0	0	0	0
597	1	0	1	0	0
598	1	1	0	0	0
599	0	0	0	0	0
600	1	1	0	0	0
601	0	0	0	0	0
602	0	0	0	0	0
603	0	0	0	0	0
604	0	0	0	0	0
605	1	0	1	0	0
606	1	1	0	0	0
607	1	1	0	0	0
608	1	1	0	0	0
