Alfa	Beta	Gama
10	106	35
20	83	33
12	109	44
15	105	36
20	113	33
17	106	44
22	110	42
21	143	45
22	118	49
32	124	35
33	140	37
26	151	38
36	124	39
33	147	40
26	128	44
31	138	32
27	154	39
32	154	39
31	161	42
37	141	44
26	153	60
29	145	46
38	128	38
35	102	30
40	109	41
39	143	45
32	136	42
36	141	53
31	139	45
31	132	51
41	153	39
41	137	43
31	134	35
37	120	35
33	166	52
29	142	46
30	116	44
38	146	39
48	128	34
33	142	39
35	131	45
32	132	48
30	128	44
33	130	39
35	121	31
36	110	39
37	142	35
35	127	36
28	110	36
34	132	33
30	114	39
32	138	36
33	133	40
24	141	42
28	127	31
27	132	34
32	118	42
30	113	38
29	114	39
36	99	34
29	120	44
40	114	46
32	120	32
41	116	43
39	102	43
34	147	37
38	109	34
44	134	40
24	148	37
34	130	46
31	118	39
25	125	45
20	141	38
21	151	41
32	112	34
36	111	33
32	142	51
21	141	33
37	122	42
30	133	34
25	113	43
30	143	45
26	139	32
32	126	38
22	129	39
36	152	55
36	120	27
29	131	40
29	113	42
26	122	32
31	110	36
33	118	32
29	126	37
34	121	35
27	107	40
30	125	40
31	124	32
32	105	45
34	118	41
27	115	45
25	120	37
37	105	34
29	127	42
30	120	31
37	138	39
26	114	36
21	128	36
29	125	48
31	98	45
34	120	41
31	122	42
30	122	32
29	121	30
32	115	46
39	107	39
24	117	39
36	109	38
23	135	43
36	111	36
30	109	33
30	115	32
30	107	39
24	137	33
24	112	39
29	100	40
28	113	37
30	118	41
30	120	46
27	120	40
28	101	28
28	126	20
37	121	29
25	112	45
24	121	36
20	114	43
36	120	51
24	121	28
34	120	26
28	108	43
32	115	24
31	125	30
25	92	39
23	114	34
24	113	37
27	123	39
27	104	45
28	124	29
30	122	33
30	94	41
18	124	42
24	107	32
21	104	41
32	93	38
27	110	31
30	103	42
22	112	39
27	111	39
24	92	32
34	101	48
20	109	46
26	110	24
32	117	36
23	121	39
28	113	31
19	123	35
28	118	32
31	131	33
27	120	32
30	104	40
18	117	42
24	115	33
34	113	34
34	108	27
27	118	28
27	107	31
36	116	31
25	103	35
33	100	34
33	112	38
32	99	28
20	93	37
19	108	41
19	96	32
20	93	42
23	101	31
29	104	28
37	127	41
23	112	43
24	101	39
25	123	36
18	117	31
17	107	45
22	107	34
25	107	32
31	120	27
24	120	30
24	98	29
21	105	43
20	105	27
23	112	50
24	120	28
35	97	37
20	98	42
27	92	38
17	110	39
20	104	39
17	95	38
30	87	37
26	116	25
24	111	42
26	113	28
26	105	35
28	118	32
24	111	27
26	112	26
18	119	31
24	120	37
20	113	39
18	102	43
36	100	28
26	109	37
22	86	37
23	132	31
22	118	41
29	102	36
25	108	31
21	89	39
27	97	34
34	112	38
23	94	29
29	96	31
34	106	33
37	94	24
20	93	32
29	100	36
20	101	39
27	115	27
18	115	42
23	107	29
19	95	36
28	118	27
28	114	38
25	117	39
28	102	24
39	106	33
27	113	36
25	107	35
32	118	31
22	114	42
28	119	27
31	104	32
25	123	29
28	115	29
26	103	40
18	127	28
24	114	44
34	84	37
39	100	38
28	104	31
29	112	30
21	117	39
29	99	27
30	106	35
29	106	32
26	114	34
23	116	31
33	85	48
34	115	45
34	111	42
30	124	39
26	104	30
20	134	35
31	117	37
29	120	35
31	124	34
33	106	32
27	130	31
36	131	34
32	108	31
34	111	39
27	121	38
35	115	34
26	130	32
31	104	39
38	129	28
31	120	37
30	94	37
32	147	43
36	124	41
33	117	41
29	127	33
42	121	41
33	129	32
34	129	42
35	133	38
34	124	38
32	108	44
25	116	41
29	106	36
30	126	39
37	123	34
27	147	23
30	129	36
36	124	35
23	126	34
38	117	54
29	140	26
31	135	32
45	127	45
34	140	49
40	97	41
37	120	47
35	126	41
34	137	46
39	115	36
31	146	46
46	130	39
36	116	20
35	125	41
33	142	36
44	116	47
38	125	32
41	129	41
41	122	41
31	110	35
50	115	35
40	144	35
42	114	38
42	149	35
31	139	37
37	122	28
36	143	43
37	121	37
28	116	32
33	127	29
34	111	35
38	138	35
34	129	53
35	98	36
36	139	48
38	125	30
25	132	35
25	127	42
38	123	38
26	119	41
43	125	34
38	141	30
36	147	35
35	139	36
37	136	33
25	132	39
33	149	25
34	121	42
36	133	36
41	126	46
31	108	49
36	115	44
27	127	39
26	123	42
28	109	25
34	123	41
24	130	31
35	117	34
35	123	34
38	122	44
37	108	39
36	122	44
32	110	34
29	109	35
36	128	39
28	128	38
30	149	37
35	121	36
33	113	30
26	126	44
29	124	33
37	126	30
35	138	31
29	132	33
35	134	45
40	127	33
38	119	44
33	130	39
24	114	42
35	118	34
26	124	42
34	114	40
25	135	36
46	109	33
36	136	53
41	124	34
35	123	41
24	130	42
30	109	34
36	126	35
32	123	40
32	123	43
32	115	33
49	126	37
23	126	44
32	127	33
24	123	41
35	133	43
32	131	36
30	114	45
31	139	30
25	126	42
26	152	31
38	144	43
42	119	32
24	128	47
35	135	30
28	124	42
38	102	29
34	126	42
34	138	37
32	123	45
33	152	26
36	117	32
38	124	46
30	119	41
34	131	37
30	124	36
25	141	39
25	114	38
38	138	40
35	132	36
23	140	39
34	138	35
37	133	40
35	123	41
28	133	38
28	117	31
36	114	39
37	107	39
29	127	36
36	112	40
38	126	34
27	126	42
33	122	36
33	131	29
34	131	41
41	121	33
43	140	54
37	113	37
25	120	43
27	137	37
30	131	40
20	129	34
24	119	55
33	134	40
35	108	41
32	119	43
29	136	44
38	130	30
33	134	32
32	137	39
27	123	30
23	118	40
39	123	42
29	126	41
40	116	37
31	117	42
32	104	46
34	109	37
30	119	42
27	122	44
36	105	31
33	129	43
34	126	44
24	134	41
28	110	39
38	117	40
27	119	40
33	111	34
29	138	35
31	118	35
30	130	28
28	103	39
37	115	28
23	136	34
34	124	35
33	109	44
29	134	30
36	139	41
27	122	40
28	115	28
30	107	34
29	111	35
37	106	34
31	117	44
28	129	41
32	124	33
21	114	32
26	110	33
37	120	37
29	96	31
39	99	39
27	109	37
29	127	44
23	128	31
25	112	40
21	132	40
20	120	35
25	104	34
26	126	34
35	123	33
23	120	41
34	127	26
30	95	37
28	123	38
28	108	39
26	112	46
25	118	43
30	120	44
25	114	30
33	118	30
28	108	34
30	114	39
32	124	32
30	118	40
32	97	36
27	120	26
30	106	38
30	105	33
35	125	35
30	113	26
28	129	34
27	117	31
34	111	31
26	123	44
33	122	39
35	103	36
32	118	43
26	116	28
30	113	43
27	111	36
28	118	30
26	117	50
22	121	36
27	130	38
26	106	34
31	103	35
27	125	32
31	106	34
19	122	31
22	117	32
31	111	45
28	123	38
33	111	30
24	124	47
17	96	37
34	116	21
32	109	37
30	102	37
35	97	39
31	112	29
37	112	44
22	106	41
35	118	43
28	118	43
38	116	43
33	139	29
30	125	27
33	115	38
31	120	39
35	113	37
30	102	33
29	104	42
30	93	32
35	114	35
31	109	48
26	121	44
39	116	32
35	122	43
26	114	39
30	116	38
31	112	40
33	140	29
28	117	42
23	116	33
26	101	44
29	133	29
23	114	28
37	117	37
37	124	34
34	109	28
28	120	32
36	101	41
29	129	43
29	118	25
31	105	43
28	126	33
33	132	37
36	131	23
34	120	28
36	141	42
34	113	48
39	95	43
31	130	36
35	107	41
30	123	37
25	117	20
41	108	40
29	134	39
33	100	35
30	105	35
22	102	36
33	134	36
34	126	33
33	118	36
25	120	38
27	109	29
31	102	36
34	112	42
30	150	35
33	110	34
33	101	38
35	116	34
29	115	45
30	113	29
25	145	41
32	118	34
22	107	36
28	110	42
27	108	42
26	139	28
39	106	43
31	114	49
28	123	43
39	115	35
32	101	42
34	142	31
28	127	46
35	98	41
28	126	38
21	111	31
31	93	36
27	117	35
23	107	47
28	104	38
28	118	36
30	97	29
25	99	42
30	121	41
23	122	32
30	124	39
33	102	35
29	107	28
29	94	28
27	103	32
29	121	33
31	108	36
37	91	37
19	108	53
29	108	35
27	103	31
29	123	30
31	104	28
31	119	35
27	129	38
31	111	36
30	107	45
22	115	45
27	121	41
21	115	35
22	92	36
31	102	37
28	106	37
21	105	29
24	110	40
25	114	27
35	92	33
25	103	36
21	100	48
28	103	32
25	95	36
37	107	31
29	110	39
28	85	30
24	102	38
20	96	31
30	111	37
17	100	39
32	118	30
35	98	40
28	116	45
19	122	38
28	92	47
20	104	36
35	84	35
25	96	37
29	106	29
24	114	33
25	103	32
20	121	30
28	96	18
24	107	29
23	113	41
22	129	41
27	90	38
26	94	24
25	101	37
27	97	26
15	106	38
26	108	34
27	113	43
31	91	28
27	79	32
19	103	31
26	105	29
23	108	31
27	105	31
21	99	24
21	107	30
16	98	34
24	99	29
23	75	22
32	115	36
23	115	32
29	89	31
23	107	33
23	95	24
20	84	37
25	83	35
23	102	26
31	98	35
25	85	30
20	87	17
23	100	42
23	107	36
26	78	20
14	91	30
19	95	26
21	81	26
29	80	33
14	94	29
21	81	37
27	69	29
16	90	32
16	89	36
24	83	30
22	90	22
22	85	28
15	90	34
24	90	32
18	90	35
19	81	20
22	97	30
21	91	43
17	98	38
22	73	27
14	89	29
22	98	36
21	78	33
23	78	20
25	89	39
20	87	24
22	88	29
30	68	26
19	91	29
20	84	23
23	73	21
17	79	21
16	80	36
30	80	35
17	73	20
20	77	20
22	74	39
21	76	26

