Alfa    Beta    Gama
11    103    50
18    139    46
14    154    50
14    160    64
23    196    51
15    163    62
17    180    63
15    202    51
19    216    58
29    188    72
22    204    58
28    203    61
32    198    67
27    193    64
26    198    59
28    181    96
28    172    62
22    205    40
29    191    69
25    182    70
30    190    73
27    171    60
30    173    70
31    173    59
24    158    56
19    190    59
21    159    64
32    154    52
25    165    66
29    180    56
22    158    65
18    181    71
21    142    50
25    163    70
21    172    55
21    166    53
31    178    51
33    140    47
25    156    49
18    166    61
24    177    58
26    172    73
26    142    56
25    155    40
28    149    58
23    175    51
19    166    58
21    152    51
24    143    62
25    151    53
26    181    61
28    157    64
38    153    61
36    168    53
40    160    80
26    166    51
34    170    61
23    211    54
37    186    64
30    168    68
24    177    70
30    188    67
37    158    70
38    203    80
36    205    61
31    217    66
33    199    63
37    201    69
47    186    66
39    191    68
47    196    63
30    191    63
40    220    68
34    195    79
45    222    64
41    185    60
37    220    53
47    197    66
48    215    69
34    233    61
42    217    57
41    215    53
40    215    62
48    218    76
51    222    79
59    240    81
57    226    65
49    254    78
52    210    84
52    247    84
